,full_address,ski_resort
185,"159 Monterey Road - Route 23, 01253 Otis, Massachusetts",Otis Ridge
186,"PO Box 308, Bartlett, New Hampshire",Attitash
187,"6600 Peller Avenue South, Hastings, Minnesota",Afton Alps
188,"10620 Mayfield, Chesterland, Ohio",Alpine Valley Ohio
189,"P.O. Box 615, East Troy, Wisconsin",Alpine Valley Wisconsin
190,"6775 E. Highland Road, White Lake, Michigan",Alpine Valley Michigan
191,"PO Box SKI, Jackson, Wyoming",Snow King
192,"4505 Andes Road Southwest, Kensington, Minnesota",Andes Tower Hills
193,"P.O. Box 130, Angel Fire, New Mexico",Angel Fire
194,"4519 N. River Road, Freeland, Michigan",Apple Mountain
195,"101 Doe Mountain Lane, Macungie, Pennsylvania",Bear Creek Mountain
196,"N11375 Powderhorn Road, Bessemer, Michigan",Big Powderhorn Mountain
197,"600 River Road, Otsego, Michigan",Bittersweet
198,"PO Box 158, Blandford, Massachusetts",Blandford
199,"PO Box 247, Claysburg, Pennsylvania",Blue Knob
200,"PO Box 216, Palmerton, Pennsylvania",Blue Mountain
201,"P.O. Box 175, Peninsula, Ohio",Boston Mills and Brandywine
202,"Dan Fox Dr., Pittsfield, Massachusetts",Bousquet
203,"600 Highlands Drive, Harbor Springs, Michigan",Boyne Highlands
204,"P.O. Box 99, Bradford, Massachusetts",Bradford
206,"4015 Fish Farm Road, Sodus, New York",Brantling Ski Slopes
207,"P.O. Box 3, Basye, Virginia",Bryce
208,"621 Lake Julia Drive NW, Bemidji, Minnesota",Buena Vista
209,"380 State Road - Route 23, Great Barrington, Massachusetts",Ski Butternut
210,"Caberfae Road, Cadillac, Michigan",Caberfae Peaks Ski Golf
211,"PO Box 1207, Camden, Maine",Camden
212,"200 Campgaw Rd., Mahwah, New Jersey",Campgaw Mountain
213,"W10441 Cascade Mountain. Rd., Portage, Wisconsin",Cascade Mountain
214,"1080 Ski Lodge Road, Maggie Valley, North Carolina",Cataloochee
215,"P.O. Box 6328, Galena, Illinois",Chestnut Mountain
216,"W13755  CTH O, Bruce, Wisconsin",Christie Mountain
217,"S-944 Christmas Mountain Road, Wisconsin Dells, Wisconsin",Christmas Mountain
218,"DCAD Dartmouth College, Hanover, New Hampshire",Dartmouth Skiway
219,"S-6330 Bluff Road, Merrimac, Wisconsin",Devils Head
220,"P.O. Box 202, Watertown, New York",Dry Hill
221,"1060 Valley of Lakes, Hazelton, Pennsylvania",Eagle Rock
222,"155 South Seward St., Juneau, Alaska",Eaglecrest
223,"344 Elk Mountain Ski Road, Union Dale, Pennsylvania",Elk Mountain Ski
224,"PO Box 130, Lake Geneva, Wisconsin",Grand Geneva
225,"2000 New YorkS Route 392, Cortland, New York",Greek Peak
226,"17409 Hidden Valley Drive, Eureka, Missouri",Hidden Valley
227,"P.O. Box 775088, Steamboat, Colorado",Howelsen Hill
228,"PO Box 1539, Blakeslee, Pennsylvania",Jack Frost
229,"Box 367, Ririe, Idaho",Kelly Canyon
230,"1251 Eaton Rd, East Madison, New Hampshire",King Pine
231,"P.O. Box 73, Glenwood, New York",Kissing Bridge
232,"Route 91, PO Box 105, Truxton, New York",Labrador Mt.
233,"Box 260, Auburn, Maine",Lost Valley
234,"P.O. Box 22, Bellefontaine, Ohio",Mad River Mountain
235,"319 Orchard Dr., Twin Falls, Idaho",Magic Mountain Idaho
236,"4501 M-553, Marquette Mountain, Michigan",Marquette Mountain
237,"PO Box 1227, Harrisonburg, Virginia",Massanutten
238,"Town of Webb, Old Forge, New York",McCauley Mountain
239,"PO Box 27, Cornwall, Connecticut",Mohawk Mountain
240,"Howe Hill Road, Greenwood, Maine",Mt. Abram Ski
241,"20461 Hwy 66, Mankato, Minnesota",Mt. Kato
242,"P.O. Box 347, Southington, Connecticut",Mt. Southington
243,"4141 Bauer Road, Brighton, Michigan",Mt. Brighton
244,"3100 Holiday Road, Traverse City, Michigan",Mt. Holiday
245,"13536 South Dixie Highway, Holly, Michigan",Mt. Holly
246,"P. O. Box 35, Lee, Maine",Mt. Jefferson
247,"Rte 17A & Old Mt Peter Rd, Warwick, New York",Mt. Peter
248,"PO Box 309, Westford, Massachusetts",Nashoba Valley
249,"RR1 Box 3347, Stockton Springs, Maine",New Hermon Mountain
250,"W5806 Cty Rd W, Wild Rose, Wisconsin",Nordic Mountain
251,"3567 Nordic Valley Way, Eden, Utah",Nordic Valley
252,"P.O. Box 95, Norway, Michigan",Norway Mountain
253,"1001 Parkway, Gatlinburg, Tennessee",Ober Gatlinburg Ski
254,"P.O. Box 67, Paoli, Indiana",Paoli Peaks
255,"PO Box 2448, Henniker, New Hampshire",Pats Peak
256,"P.O. Box 360, Findley Lake, New York",Peekn Peak
257,"19074 Perfect Lane, Lawrenceburg, Indiana",Perfect North Slopes
258,"N3332 Pine Mountain Road, Iron Mountain, Michigan",Pine Mountain
259,"P.O. Box 158, Albion, Idaho",Pomerelle Mountain
260,"P.O. Box 339, Kimball, Minnesota",Powder Ridge Minnesota
261,"P.O. Box 900, Red River, New Mexico",Red River
262,"10 Tramway Loop N.E., Albuquerque, New Mexico",Sandia Peak
263,"P.O. Box 2048, Cashiers, North Carolina",Sapphire Valley
264,"P.O. Box 1110, Granby, Colorado",Granby Ranch
265,"Box 220, Ruidoso, New Mexico",Ski Apache
266,"PO Box 1118, Banner  Elk, North Carolina",Ski Beech Mountain
267,"78 Country Club Trail, Carroll Valley, Pennsylvania",Liberty
268,"925 Roundtop Mountain Rd., Lewisberry, Pennsylvania",Roundtop Mountain
269,"383 Oregon Hill Rd., Morris, Pennsylvania",Ski Sawmill
270,"9500 126th St. West, Andalusia, Illinois",Ski Snowstar
271,"PO Box 208, New Hartford, Connecticut",Ski Sundown
272,"P.O. Box 459, Windham, New York",Windham Mountain
273,"PO Box 100 Route 26, Turin, New York",Snow Ridge
274,"3407 E. Mannsiding Road, Harrison, Michigan",Snow Snake
275,"P.O. Box 1456, Mansfield, Ohio",Snow Trails
276,"P.O. Box 10, Snowshoe Mountain, West Virginia",Snowshoe Mountain
277,"P.O. Box 510, Fairfield, Idaho",Soldier Mountain
278,"9500 Spirit Mountain Place, Duluth, Minnesota",Spirit Mountain
279,"P.O. Box 276, Spring Mt., Pennsylvania",Spring Mountain
280,"P.O. Box 369, Banner Elk, North Carolina",Sugar Mountain
281,"14 The Green, Woodstock, Vermont",Saskadena Six
282,"8355 Prospect Drive, Kewaskum, Wisconsin",Sunburst
283,"16991 Asbury Road, Dubuque, Iowa",Sundown Mountain
284,"P.O. Box 117, Greer, Arizona",Sunrise Park
285,"P.O. Box 44, Swain, New York",Swain
286,"Route #1, Jones, Michigan",Swiss Valley
287,"P.O. Box 774, Lead, South Dakota",Terry Peak
288,"PO Box 1354, Choteau, Montana",Teton Pass
289,"PO Box 2000, Hot Springs, Virginia",Omni Homestead
290,"1 Wood Ridge Road, Glen Arbor, Michigan",The Homestead
291,"Rt. #22, PO Box 627, Patterson, New York",Thunder Ridge
292,"07500 23 1/2 Street, Gobles, Michigan",Timber Ridge
293,"P.O. Box 162, Fabius, New York",Toggenburg Mountain
294,"P.O. Box 885, Boalsburg, Pennsylvania",Tussey Mountain
295,"3487 Bohn Road, Mt. Horeb, Wisconsin",Tyrol Basin
296,"1401 W. Lake St., Bartlett, Illinois",Villa Olivia
297,"P.O. Box 1420, Pinedale, Wyoming",White Pine
298,"9106 W County Road E, Upson, Wisconsin",Whitecap Mountain
299,"13805 Blairs Valley Rd., Mercersburg, Pennsylvania",Whitetail
300,"P.O. Box 427, Wilmot, Wisconsin",Wilmot Mountain
301,"PO Box 1, Flat Top, West Virginia",Winterplace Ski
302,"PO Box 706, Wintergreen, Virginia",Wintergreen
303,"296 Marsh Hill Road, McHenry, Maryland",Wisp
304,"578 Valey View Circle, Mars Hill, North Carolina",Wolf Ridge Ski
305,"785 Washington Road, Woodbury, Connecticut",Woodbury
306,"Box 41, Slocum, Rhode Island",Yawgoo Valley
307,"HC 70 Box 330, Davis, West Virginia",Canaan Valley
308,"10755 Cooper Spur Road, Mt. Hood, Oregon",Cooper Spur
309,"4001 Washington St, Canton, Massachusetts",Blue Hills
310,"HC1 BOX 1A 353, Lackawaxen, Pennsylvania",Big Bear
311,"P.O. Box 567, Weston, Missouri",Snow Creek
312,"615 Francestown Road, Route 47, Bennington, New Hampshire",Crotched Mountain
313,"PMB 3003, Tamarack, Idaho",Tamarack
314,"79327 Highway 204, Weston, Oregon",Spout Springs
315,"P.O. Box 608, Orchard Park, New York",Buffalo Ski Club
316,"PO Box 622, Lead, South Dakota",Deer Mountain
317,"1000 Main St, Shrewsbury, Massachusetts",Ski Ward
318,"12400 James Deane Parkway, Maple Grove, Minnesota",Elm Creek
319,"Box 969, Grand Haven, Michigan",Mulligan's Hollow
320,"348 Yellowstone Highway, Cody, Wyoming",Sleeping Giant
321,"491 5th Street, Elko, Nevada",Elko SnoBowl
322,"150 S West Village Circle, Beaver, Utah",Eagle Point
323,"7778 Sashabaw Road, Clartkston, Michigan",Pine Knob
324,"Enfield, Enfiled, New Hampshire",Whaleback
325,"105 Cedar Creek Rd, Slinger, Wisconsin",Little Switzerland
326,"141 Novosel Way, Speculator, New York",Oak Mountain
327," 23301 Plank Rd ,  Venango, Pennsylvania",Mt. Pleasant
328,"7532 County Road 36, Naples, New York",Hunt Hollow
329,"99 Powder Hill Road, Middlefield, Connecticut",Powder Ridge Connecticut
330,"P.O. Box 339, Shawnee on Delaware, Pennsylvania",Shawnee Mountain
