,city,state,ski_resort
318,Maple Grove,Minnesota,Elm Creek
319,Grand Haven,Michigan,Mulligan's Hollow
320,Cody,Wyoming,Sleeping Giant
321,Elko,Nevada,Elko SnoBowl
322,Beaver,Utah,Eagle Point
323,Clartkston,Michigan,Pine Knob
324,Enfiled,New Hampshire,Whaleback
325,Slinger,Wisconsin,Little Switzerland
326,Speculator,New York,Oak Mountain
327, Venango,Pennsylvania,Mt. Pleasant
328,Naples,New York,Hunt Hollow
329,Middlefield,Connecticut,Powder Ridge Connecticut
330,Shawnee on Delaware,Pennsylvania,Shawnee Mountain
