,user_name,ski_resort,rating
334,Bobby G,Jackson Hole,5
335,flyersboy114,Killington,4
336,flyersboy114,Smugglers' Notch,3
337,Randy Rogers,Crystal Mountain Washington,4
338,flyersboy114,Jack Frost,1
339,govey80,Alta,5
340,Hilferty,Camelback Mountain,5
341,Randy Rogers,Mt. Ashland,4
342,Randy Rogers,Willamette Pass,5
343,apken,Mountain Creek,2
344,Resort Travel,Alpental,4
345,Americansonofa,Massanutten,4
346,Americansonofa,Snowshoe Mountain,4
347,stevenam,Breckenridge,5
348,stevenam,Arapahoe Basin,5
349,bodyflight,Cataloochee,2
350,bodyflight,Wolf Ridge Ski,4
351,Bartakamoose,Granite Peak,5
352,Bartakamoose,Mt. La Crosse,4
353,Bartakamoose,Devils Head,4
354,kbone77,Sunrise Park,4
355,swissnowtiger,June Mountain,3
356,swetsb,Snowshoe Mountain,4
357,thorne36,Deer Valley,5
358,thorne36,Park City Mountain,4
359,Resort Travel,Mt. Hood Meadows,4
360,Resort Travel,Crystal Mountain Washington,4
361,Resort Travel,Summit at Snoqualmie,4
362,CopPsychDoc,Mountain Creek,2
363,CopPsychDoc,Belleayre,5
364,CopPsychDoc,Ski Butternut,3
365,CopPsychDoc,Mt. Peter,5
366,Frank Castellanos,Shawnee Mountain,5
367,steffenwolf,Taos Ski Valley,5
368,steffenwolf,Monarch Mountain,4
369,steffenwolf,Beaver Creek,3
370,thorne36,Montana Snowbowl,3
371,flyersboy114,Crested Butte Mountain,5
372,steffenwolf,Crested Butte Mountain,5
373,apken,Windham Mountain,4
374,soakandski,Sunday River,5
375,Americansonofa,Winterplace Ski,4
376,MgoBlue,Wolf Creek,5
377,mt.bporru,Stowe Mountain,5
378,mt.bporru,Okemo Mountain,4
379,Gunny J,Montage Mountain,3
380,Dantheman,Pats Peak,5
381,mt.bporru,Gore Mountain,4
382,daniwrites,Stratton Mountain,5
383,daniwrites,Blue Mountain,4
384,daniwrites,Shawnee Mountain,2
385,Les,Winterplace Ski,2
386,belindajk,Bear Valley,4
387,echi,Breckenridge,5
388,J Berlo,Nubs Nob,5
389,kbone77,Kirkwood,5
390,kbone77,Steamboat,5
391,kbone77,Telluride,4
392,soakandski,Camelback Mountain,4
393,danmclaw,Spring Mountain,3
394,Hilferty,Elk Mountain Ski,5
395,markwittlich,Camelback Mountain,1
396,markwittlich,Elk Mountain Ski,5
397,Hilferty,Blue Mountain,4
398,Les,Snowshoe Mountain,4
399,bodyflight,Snowshoe Mountain,4
400,sewardhorner,Bittersweet,5
401,thereporter,Mammoth Mountain,3
402,thereporter,Ski China Peak,5
403,tourist from Texas,Wolf Creek,3
404,jim8588,Crystal Mountain Michigan,4
405,swetsb,Whiteface Mountain,5
406,thereporter,Boreal,3
407,thereporter,Bear Valley,3
408,thereporter,Dodge Ridge,2
409,apken,Killington,4
410,belindajk,Sugar Bowl,5
411,belindajk,Kirkwood,4
412,hotdotsails,Liberty,5
413,p_nut,Park City Mountain,4
414,sewardhorner,Swiss Valley,4
415,masterdel,Crested Butte Mountain,3
416,mt.bporru,Whiteface Mountain,5
417,nzh0tg,Nubs Nob,5
418,Adye 1,Heavenly Mountain,4
419,Aguilar 1,June Mountain,5
420,Aguilar 1,Big Bear,3
421,Aguilar 1,Sugarloaf,4
422,Aguilar 1,New Hermon Mountain,4
423,Americansonofa,Snowshoe Mountain,5
424,ccampbell,Elk Mountain Ski,5
425,attyWSW,Sunlight Mountain,5
426,jim8588,Schuss Mountain,5
427,Dantheman,Cannon Mountain,5
428,herbsmen,Snow Valley,3
429,Mike134,Big Powderhorn Mountain,5
430,mt.bporru,Windham Mountain,2
431,nzh0tg,Nubs Nob,4
432,echi,Northstar California,5
433,Gunny J,Elk Mountain Ski,2
434,Jay C,Attitash,5
435,Gunny J,Belleayre,5
436,Philip H. Eckerberg,Snowy Range,3
437,Adye 1,Devils Head,3
438,apken,Hunter Mountain,2
439,bermjl,Powder Mountain,5
440,Shartron,Sunrise Park,3
441,bermjl,Snowbasin,5
442,Gunny J,Hunter Mountain,4
443,bigw1313,Breckenridge,5
444,pinkkid_2000,Sierra at Tahoe,4
445,pinkkid_2000,Badger Pass,5
446,Randy Rogers,Willamette Pass,5
447,DoUcanoe2,Liberty,5
448,John Gonzalez,Palisades Tahoe,5
449,John Gonzalez,Kirkwood,5
450,John Gonzalez,Mt. Rose Ski Tahoe,3
451,John Gonzalez,Heavenly Mountain,4
452,John Gonzalez,Diamond Peak,2
453,John Gonzalez,Lee Canyon,2
454,Ontheslopes,Ragged Mountain,4
455,joe castelli,Breckenridge,5
456,joe castelli,Arapahoe Basin,4
457,joe castelli,Paoli Peaks,3
458,joe castelli,Paoli Peaks,3
459,sewardhorner,Copper Mountain,5
460,Ontheslopes,Killington,3
461,skylolow,Granite Peak,5
462,skylolow,Lutsen Mountains,5
463,govey80,Breckenridge,5
464,Ontheslopes,Pats Peak,5
465,Queensland Skier,Palisades Tahoe,5
466,Queensland Skier,Northstar California,3
467,ski_hike,Kirkwood,5
468,Queensland Skier,Park City Mountain,5
469,Queensland Skier,Sugar Bowl,4
470,Queensland Skier,Beaver Creek,5
471,ski_hike,Mt. Rose Ski Tahoe,4
472,SweetSki,Lookout Pass,5
473,Juan,Whiteface Mountain,4
474,Juan,Liberty,3
475,Juan,Whitetail,3
476,Queensland Skier,Deer Valley,4
477,Queensland Skier,Vail,5
478,Juan,Wintergreen,3
479,bwm30,Alyeska,4
480,govey80,Snowbird,4
481,Ontheslopes,Okemo Mountain,4
482,Queensland Skier,Steamboat,5
483,Doodski,Welch Village,1
484,Doodski,Buck Hill,5
485,Doodski,Afton Alps,3
486,swissnowtiger,Timberline Lodge,4
487,Shane Wicken,Smugglers' Notch,4
488,Shane Wicken,Pico Mountain,4
489,Shane Wicken,Pats Peak,3
490,Ontheslopes,Pico Mountain,5
491,Shane Wicken,Wachusett Mountain,3
492,ski_hike,Boreal,3
493,ski_hike,Diamond Peak,2
494,p_nut,Arapahoe Basin,5
495,p_nut,Camelback Mountain,2
496,p_nut,Camelback Mountain,2
497,p_nut,Elk Mountain Ski,5
498,psuguy43094,Sugar Bowl,5
499,psuguy43094,Mt. Rose Ski Tahoe,5
500,psuguy43094,Northstar California,3
501,psuguy43094,Heavenly Mountain,5
502,psuguy43094,Park City Mountain,5
503,psuguy43094,Breckenridge,5
504,p_nut,Hunter Mountain,4
505,psuguy43094,Blue Mountain,3
506,Ontheslopes,Cannon Mountain,2
507,Ontheslopes,Sugarloaf,5
508,Philip H. Eckerberg,Terry Peak,4
509,p_nut,Spring Mountain,1
510,psuguy43094,Breckenridge,5
511,joey440,Wolf Creek,5
512,joey440,Angel Fire,4
513,joey440,Ski Apache,3
514,Ontheslopes,Wachusett Mountain,2
515,Ontheslopes,Whiteface Mountain,5
516,psuguy43094,Heavenly Mountain,5
517,volklmom,Jay Peak,4
518,volklmom,Wildcat Mountain,5
519,volklmom,Cranmore Mountain,2
520,volklmom,Attitash,5
521,psuguy43094,Breckenridge,4
522,dane Koncan,Crested Butte Mountain,5
523,mcc100,Snowbird,5
524,mcc100,Copper Mountain,5
525,mcc100,Breckenridge,5
526,mcc100,Killington,5
527,mcc100,Sugarbush,5
528,mcc100,Stratton Mountain,4
529,dave figenshu,Jack Frost,5
530,SFCSkiGirl,Killington,5
531,SFCSkiGirl,Montage Mountain,5
532,SFCSkiGirl,Blue Mountain,5
533,Randy Rogers,Willamette Pass,5
534,Randy Rogers,Hoodoo,3
535,Frank Castellanos,Killington,4
536,psuguy43094,Bear Creek Mountain,2
537,joe castelli,Sugar Mountain,4
538,mt.skier,Big Sky,5
539,mt.skier,Lost Trail Powder Mountain,3
540,mt.skier,Montana Snowbowl,3
541,mt.skier,Discovery,4
542,mt.skier,Discovery,4
543,wisp,Eldora Mountain,5
544,Ron,Alyeska,4
545,rt,Wolf Creek,4
546,rt,Taos Ski Valley,5
547,rt,Ski Apache,2
548,wisp,Wisp,5
549,dane Koncan,Mammoth Mountain,3
550,pdxboarder,Timberline Lodge,3
551,pdxboarder,Crystal Mountain Washington,4
552,pdxboarder,Mt. Hood Skibowl,5
553,Eli,Alpental,4
554,Eli,Summit at Snoqualmie,3
555,cmustard,Pebble Creek,2
556,dane Koncan,Kirkwood,5
557,Dave Varney,Gunstock,4
558,leerampolla,Lee Canyon,3
559,mjurkiewicz,Blue Mountain,4
560,Randy Rogers,Willamette Pass,5
561,andrew Balcom,Crystal Mountain Michigan,4
562,andrew Balcom,Bittersweet,3
563,frankpa,Eldora Mountain,4
564,andrew Balcom,Caberfae Peaks Ski Golf,4
565,Gunny J,Belleayre,5
566,Dave&DJ,Big Powderhorn Mountain,5
567,Dave&DJ,Big Powderhorn Mountain,5
568,max caswell,Alta,5
569,govey80,Bear Mountain,1
570,dane Koncan,Palisades Tahoe,5
571,Ontheslopes,Bretton Woods,4
572,molly young,Blue Mountain,4
573,skifiend,Blue Mountain,4
574,bulldogmom,Magic Mountain Idaho,5
575,bulldogmom,Magic Mountain Idaho,4
576,bulldogmom,Pomerelle Mountain,3
577,nzh0tg,Vail,4
578,nzh0tg,Boyne Highlands,4
579,max caswell,Keystone,3
580,skibum40,Taos Ski Valley,5
581,skibum40,Purgatory Mountain,4
582,skibum40,Crested Butte Mountain,5
583,skibum40,Ski Santa Fe,4
584,skibum40,Sipapu Ski and Summer,4
585,skibum40,Pajarito Mountain,5
586,skibum40,Ski Apache,3
587,max caswell,Snowbird,5
588,max caswell,Crested Butte Mountain,5
589,A. cooper,Snowriver Mountain Resort,2
590,iwill,Mt. Baker,5
591,TanMan,Lost Trail Powder Mountain,5
592,TanMan,Discovery,5
593,max caswell,Grand Targhee,4
594,max caswell,Jackson Hole,5
595,max caswell,Steamboat,4
