,ski_resort,city,city_2,state,abbreviation,state_2,url,url_2
10,Appalachian Ski Mountain,Blowing-Rock,Blowing%20Rock%2C%20,North-Carolina,NC,Blowing%20Rock%2C%20NC,https://www.airbnb.com/s/Blowing-Rock--North-Carolina--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Blowing%20Rock%2C%20NC&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/Blowing-Rock--North-Carolina--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Blowing%20Rock%2C%20NC&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
11,Apple Mountain,Freeland,Freeland%2C%20,Michigan,MI,Freeland%2C%20MI,https://www.airbnb.com/s/Freeland--Michigan--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Freeland%2C%20MI&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/Freeland--Michigan--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Freeland%2C%20MI&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
12,Arapahoe Basin,Dillon,Dillon%2C%20,Colorado,CO,Dillon%2C%20CO,https://www.airbnb.com/s/Dillon--Colorado--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Dillon%2C%20CO&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/Dillon--Colorado--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Dillon%2C%20CO&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
13,Arizona Snowbowl,Flagstaff,Flagstaff%2C%20,Arizona,AZ,Flagstaff%2C%20AZ,https://www.airbnb.com/s/Flagstaff--Arizona--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Flagstaff%2C%20AZ&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/Flagstaff--Arizona--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Flagstaff%2C%20AZ&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
14,Aspen Snowmass,Aspen,Aspen%2C%20,Colorado,CO,Aspen%2C%20CO,https://www.airbnb.com/s/Aspen--Colorado--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Aspen%2C%20CO&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/Aspen--Colorado--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Aspen%2C%20CO&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
15,Attitash,Bartlett,Bartlett%2C%20,New-Hampshire,NH,Bartlett%2C%20NH,https://www.airbnb.com/s/Bartlett--New-Hampshire--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Bartlett%2C%20NH&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/Bartlett--New-Hampshire--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Bartlett%2C%20NH&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
16,Bear Creek Mountain,Mungie,Mungie%2C%20,Pennsylvania,PA,Mungie%2C%20PA,https://www.airbnb.com/s/Mungie--Pennsylvania--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Mungie%2C%20PA&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/Mungie--Pennsylvania--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Mungie%2C%20PA&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
17,Bear Mountain,Big-Bear-Lake,Big%20Bear%20Lake%2C%20,California,CA,Big%20Bear%20Lake%2C%20CA,https://www.airbnb.com/s/Big-Bear-Lake--California--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Big%20Bear%20Lake%2C%20CA&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/Big-Bear-Lake--California--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Big%20Bear%20Lake%2C%20CA&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
18,Bear Valley,Bear-Valley,Bear%20Valley%2C%20,California,CA,Bear%20Valley%2C%20CA,https://www.airbnb.com/s/Bear-Valley--California--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Bear%20Valley%2C%20CA&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/Bear-Valley--California--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Bear%20Valley%2C%20CA&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
19,Beaver Creek,Vail,Vail%2C%20,Colorado,CO,Vail%2C%20CO,https://www.airbnb.com/s/Vail--Colorado--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Vail%2C%20CO&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click,https://www.airbnb.com/s/Vail--Colorado--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-06-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&query=Vail%2C%20CO&date_picker_type=flexible_dates&flexible_trip_dates%5B%5D=december&adults=4&source=structured_search_input_header&search_type=autocomplete_click&federated_search_session_id=84975d1b-960f-4fee-8b4e-9c6bb8f18a2c&pagination_search=true&cursor=eyJzZWN0aW9uX29mZnNldCI6MywiaXRlbXNfb2Zmc2V0IjoxOCwidmVyc2lvbiI6MX0%3D
