,full_address,ski_resort,latitude,longitude
91,"150 S West Village Circle, Beaver, Utah",Eagle Point,38.3203174,-112.3839305
92,"1060 Valley of Lakes, Hazelton, Pennsylvania",Eagle Rock,40.9584181,-75.97464719999999
93,"155 South Seward St., Juneau, Alaska",Eaglecrest,58.29979729999999,-134.4068213
94,"P.O.  Box 1697, Nederland, Colorado",Eldora Mountain,39.9613759,-105.5108312
95,"344 Elk Mountain Road, Union Dale, Pennsylvania",Elk Mountain Ski,41.7235523,-75.55373469999999
96,"491 5th Street, Elko, Nevada",Elko SnoBowl,40.8329761,-115.7638673
97,"12400 James Deane Parkway, Maple Grove, Minnesota",Elm Creek,45.1379829,-93.4378898
98,"P.O. Box 219, Red River, New Mexico",Enchanted Forest,36.7080849,-105.4061159
99,"6005 Forest View Rd., Lisle, Illinois",Four Lakes,41.7767116,-88.0804769
100,"P.O. Box 190, Biwabik, Minnesota",Giants Ridge,47.5329811,-92.3401787
101,"P.O. Box 470, North Creek, New York",Gore Mountain,43.6978427,-73.9859658
102,"P.O. Box 1110, Granby, Colorado",Granby Ranch,40.086097,-105.9394597
103,"PO Box 130, Lake Geneva, Wisconsin",Grand Geneva,42.5916836,-88.4334301
104,"3300 E. Ski Hill Road, Alta, Wyoming",Grand Targhee,43.7877125,-110.9623737
105,"P.O. Box 5010, Wausau, Wisconsin",Granite Peak,44.9591352,-89.6301221
106,"P.O. Box SKI, Marysville, Montana",Great Divide,46.7505198,-112.3012261
107,"2000 NYS Route 392, Cortland, New York",Greek Peak,42.508437,-76.14503599999999
108,"PO Box 1307, Lonia, New Hampshire",Gunstock,43.5278546,-71.4703509
109,"PO Box 2180, Stateline, California",Heavenly Mountain,38.9624079,-119.9399029
110,"17409 Hidden Valley Drive, Eureka, Missouri",Hidden Valley,38.5353656,-90.65073939999999
111,"7015 Abbott Road, Anchorage, Alaska",Hilltop,61.14081299999999,-149.7448328
112,"1800 East K St., Casper, Wyoming",Hogadon,42.8620625,-106.2982337
113,"99 Holiday Mountain Road, Monticello, New York",Holiday Mountain,41.6294773,-74.6140113
114,"P.O. Box 370, Ellicotville, New York",Holiday Valley,42.2750639,-78.67280710000001
115,"P.O. Box 279, Ellicottville, New York",Holimont,42.2750639,-78.67280710000001
116,"Highway 20 PO Box 20, Sisters, Oregon",Hoodoo,44.2913243,-121.5472183
117,"P.O. Box 775088, Steamboat, Colorado",Howelsen Hill,40.4849769,-106.8317158
118,"7532 County Road 36, Naples, New York",Hunt Hollow,42.6430138,-77.4691168
119,"P.O. Box 295, Hunter, New York",Hunter Mountain,42.21369869999999,-74.2187541
120,"8800 Chalet Road, Bloongton, Minnesota",Hyland Ski Snowboard Area,44.8432367,-93.3642613
121,"4850 VT Rte 242, Jay, Vermont",Jay Peak,44.9284367,-72.50147199999999
122,"37 Corey Rd., Hancock, Masshusetts",Jiminy Peak,42.555581,-73.290245
123,"PO Box 1539, Blakeslee, Pennsylvania",Jack Frost,41.092586,-75.5926886
124,"500 Indianhead Road, Wakefield, Michigan",Snowriver Mountain Resort,46.5002784,-89.9708536
125,"P.O. Box 290, Teton Village, Wyoming",Jackson Hole,43.5873149,-110.8269876
126,"P.O. Box 146, June Lake, California",June Mountain,37.7797825,-119.0754232
127,"Box 367, Ririe, Idaho",Kelly Canyon,43.6318575,-111.773575
128,"P.O. Box 38, Keystone, Colorado",Keystone,39.5791675,-105.9347384
129,"4763 Killington Road, Killington, Vermont",Killington,43.651295,-72.841849
