,airport_3,ski_resort,distance_3
245853,Amery Municipal,Mt. Bohea,407.97154080764983
246008,Amery Municipal,Mt. Bohemia,407.97154080764983
244526,Angoon SPB,Mt. Brighton,3875.968513325724
556607,Madison County,Mt. Crescent,1071.4199887417228
500832,Galion Municipal,Mt. Holiday,498.70059767429206
930773,Cheyenne County Municipal,Mt. Hood Meadows,1739.4190123785288
930774,Cheyenne County Municipal,Mt. Hood Skibowl,1742.0367810219063
706343,Philadelphia Municipal,Mt. Jefferson,2265.6946667367947
950364,Kennett Memorial,Mt. La Crosse,849.4984696831818
635277,Wm T Piper Memorial,Mt. Peter,261.4375570376012
131321,Greenville Muni,Mt. Rose Ski Tahoe,3324.1802431226743
694726,Molokai,Mt. Shasta,3953.5111183560075
716287,Montauk,Mt. Snow,225.2018334506937
504472,Piedmont Triad International,Mt. Southington,864.0599616662415
827527,Wiley Post,Mt. Spokane,2111.0618266441866
716289,Montauk,Mt. Sunapee,248.20823518729333
273420,Alakanuk,Mulligan's Hollow,5296.475189061398
40689,McCreary County ,Nashoba Valley,1285.6669473102975
194738,Martin ,New Hermon Mountain,2229.214829089329
157223,Hope,Nordic Mountain,4302.24020315395
838820,Ruth,Nordic Valley,969.3064391692101
131329,Greenville Muni,Northstar California,3348.696679558128
649914,Wells Municipal/Harriet ,Norway Mountain,2230.319986776893
948715,Tacoma Narrows,Nubs Nob,2869.1582167810975
160548,Hillsboro Municipal,Oak Mountain,1814.7246417020062
897589,Springfield-Branson Regional,Ober Gatlinburg Ski,898.0115070540209
716318,Montauk,Okemo Mountain,266.69901845655954
790023,Palmer Municipal,Omni Homestead,5292.915013440232
264468,Apple Valley,Otis Ridge,3890.201212306656
13145,Elizabeth ,Pajarito Mountain,3018.519149943315
131338,Greenville Muni,Palisades Tahoe,3357.3066102826756
517787,Hamilton-Fairfield,Paoli Peaks,190.580912248413
838832,Ruth,Park City Mountain,999.1698092542343
716325,Montauk,Pats Peak,233.97047248262746
901250,Sanderson ,Pebble Creek,986.9664666490733
356107,Columbia Regional,Peekn Peak,1117.0038460575822
476292,Fort Worth Meacham International,Perfect North Slopes,1323.1644843179683
672505,Midland International,Pico Mountain,2868.695490460367
347810,Easterwood ,Pine Knob,1776.193822246644
649931,Wells Municipal/Harriet ,Pine Mountain,2216.423328586343
672176,Madera Municipal,Plattekill Mountain,3890.3085820600204
768125,O Neill Municipal,Pleasant,2253.0005266611042
901258,Sanderson ,Pomerelle Mountain,924.6581376732713
838843,Ruth,Powder Mountain,974.1854376676713
504521,Piedmont Triad International,Powder Ridge Connecticut,865.6843491408688
194100,Skagway SPB,Powder Ridge Minnesota,3127.1767901261583
381682,"W. H. \Bud\"" Barron """,Powderhorn,2373.456148534614
305987,Rafael Hernandez,Purgatory Mountain,4475.496635583316
827892,Pine River Regional,Ragged Mountain,1798.7302972420557
168541,Cottage Grove State,Red Lodge Mtn.,1102.6154910762482
236270,Nantucket Memorial,Red River,3075.0826899227945
879023,Shively ,Roundtop Mountain,2509.225427532049
160576,Hillsboro Municipal,Royal Mountain,1822.6426246651972
13169,Elizabeth ,Sandia Peak,3063.200818300723
596162,Hillsdale Municipal,Sapphire Valley,768.0884718427094
672523,Midland International,Saskadena Six,2892.6592472737266
157925,John Day State,Schweitzer,475.7500101008816
757518,Karl Stefan Memorial,Seven Oaks,287.6972786334933
581227,Kit Carson County,Seven Springs,1965.041185366029
500880,Galion Municipal,Shanty Creek,509.5423435086385
31869,Brenham Municipal,Shawnee Mountain,2256.6791431736074
464696,Frankfort Municipal,Showdown,2072.2700072999824
765157,Nogales International,Sierra at Tahoe,1173.1450027576711
827574,Wiley Post,Silver Mountain,2027.6470882669826
169883,Lloyd R. Roundtree Seaplane Facility,Silverton Mountain,2813.626435486334
600820,Salem Memorial,Sipapu Ski and Summer,1249.542949354253
235289,Aberdeen Regional,Ski Apache,1468.781724599539
678297,White County,Ski Beech Mountain,661.027574267112
783754,Knoxville Municipal,Ski Brule,640.7065565434107
111455,Illinois Valley,Ski Butternut,4089.6175343719947
419054,Wellington Municipal,Ski China Peak,1923.169772220675
241106,Double Eagle II,Ski Cooper,458.6927680213946
382215,Dahl Creek,Ski Mystic at Deer Mountain,3979.1331002275015
600824,Salem Memorial,Ski Santa Fe,1295.1969591303935
588541,Kapalua,Ski Sawmill,7620.381576201257
367430,Sharp County Regional,Ski Snowstar Winter Sports Park,578.1415931011131
264511,Apple Valley,Ski Sundown,3901.7724192387395
88884,Captain Walter Francis Duke Regional ,Ski Ward,605.4180941631217
901953,Shreveport Regional,Sleeping Giant,1882.3181631226
747242,Prague Municipal,Smugglers' Notch,2262.0240725651443
672789,Marianna Municipal,Sno Mountain,1446.1355539059568
853815,Greater Rochester Int'l,Snow Creek,1494.8232619034043
939804,Gillespie County,Snow King,1806.4896593707253
682173,Key ,Snow Ridge,1713.2299413119606
652626,Lynchburg Municipal-Preston Glenn ,Snow Snake,874.747177821741
278463,Algona Municipal,Snow Sumt,2187.8758054536515
92544,"Union County, Troy Shelton ",Snow Trails,679.4830324788511
576601,Lincoln County,Snow Valley,3265.4088818431137
838882,Ruth,Snowbasin,977.5061006319507
838883,Ruth,Snowbird,986.0151020385632
245804,Amery Municipal,Snowriver Mountain Resort,230.22069220341518
113464,Fayette Regional Air Center,Snowshoe Mountain,1819.5991877600536
799377,Palm Beach County Glades,Snowy Range Ski Recreation Area,2829.084861824514
131394,Greenville Muni,Soda Springs,3348.696679558128
902631,Fernando Luis Ribas Dominicci,Soldier Mountain,5307.127788969135
838888,Ruth,Solitude Mountain,991.378215484072
45077,Canton -Plymouth -  Mettetal,Song Mountain,603.6249470804548
356826,Chesapeake Municipal,Spirit Mountain,1723.8098016953456
