Name,address,city,state,country,sumt,drop,base,gondolas_and_trams,fastEight,highSpeedSixes,quadChairs,tripleChairs,doubleChairs,surfeLifts,totalRuns (acre),longestRun (miles),daysOpenLastYear,averageSnowfall (inches),projectedOpening,projectedClosing,NovSnow,DecSnow,JanSnow,FebSnow,MarSnow,AprSnow,MaySnow,child_season,junior_season,adult_season,child_weekday,junior_weekday,adult_weekday,senior_weekday,child_weekend,junior_weekend,adult_weekend,senior_weekend,Url,gondolas_lifts_note,terrainNote,ticketpriceNote
Powderhorn,P.O. Box 370,81643 Mesa,Colorado,United States,9850,1650,8200,0,1,0,0,0,2,2,59,1.5,112,250,November 25 2023,April 07 2024,1,38,39,44,38,2,0,29,399,699,29,19,39,79,19,19,39,79,https://www.onthesnow.com/colorado/powderhorn/ski-resort.html,0,0,0
Purgatory Mountain,#1 Skier Ple,81301 Durango,Colorado,United States,10822,2029,8793,0,2,1,0,3,3,2,250,1.3,130,260,November 18 2023,May 14 2023,13,62,50,52,42,5,0,525,625,899,675,60,70,89,75,60,70,89,https://www.onthesnow.com/colorado/durango-mountain-resort/ski-resort.html,0,0,0
Ragged Mountain,620 Ragged Mountain Road,03230 Danbury,New Hampshire,United States,2250,1250,1000,0,1,1,0,1,0,2,200,1.2,95,100,December 08 2023,April 02 2024,0,24,19,27,15,2,0,699,50,60,74,50,60,70,84,60,0,0,https://www.onthesnow.com/new-hampshire/ragged-mountain-resort/ski-resort.html,0,0,0
Red Lodge Mtn.,P.O. Box 750,59068 Red Lodge,Montana,United States,9416,2400,7016,0,2,0,0,1,3,1,496,2.5,142,250,November 24 2023,April 14 2024,8,26,22,45,38,17,0,299,499,849,309,29,54,69,54,29,54,69,https://www.onthesnow.com/montana/red-lodge-mountain/ski-resort.html,0,0,0
Red River,P.O. Box 900,87558 Red River,New Mexico,United States,10350,1600,8750,0,0,0,1,3,1,2,209,2.5,110,214,November 23 2023,March 17 2024,7,24,25,33,19,0,0,450,490,615,20,0,82,106,0,0,82,106,https://www.onthesnow.com/new-mexico/red-river/ski-resort.html,0,Check terrain information.,0
Roundtop Mountain,925 Roundtop Rd.,17339 Lewisberry,Pennsylvania,United States,1400,600,800,0,0,0,3,2,0,4,103,0.4,0,30,December 24 2023,March 17 2024,0,3,9,7,7,0,0,439,859,55,63,61,73,0,0,0,0,0,https://www.onthesnow.com/pennsylvania/roundtop-mountain-resort/ski-resort.html,0,0,0
Royal Mountain,3072 State Highway 10,12032 Caroga Lake,New York,United States,1800,550,1250,0,0,0,0,0,3,0,28,0.3,0,90,December 17 2023,April 08 2024,0,6,5,7,3,0,0,425,0,30,45,25,0,30,45,25,0,0,https://www.onthesnow.com/new-york/royal-mountain-ski-area/ski-resort.html,Check gondola information.,0,0
Sandia Peak,10 Tramway Loop N.E.,87122 Albuquerque,New Mexico,United States,10378,1700,8678,0,0,0,0,0,3,1,30,2,32,100,November 25 2023,March 10 2024,0.4,6,14,6,0,0,0,239,379,619,479,40,45,55,45,40,45,55,https://www.onthesnow.com/new-mexico/sandia-peak/ski-resort.html,0,0,0
Sapphire Valley,P.O. Box 2048,28717 Cashiers,North Carolina,United States,3450,250,3200,0,0,0,1,0,0,2,8,1,53,24,December 26 2023,March 03 2024,0,12,15,10,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.onthesnow.com/north-carolina/sapphire-valley/ski-resort.html,0,0,Check ticket prices.
Saskadena Six,14 The Green,05091 Woodstock,Vermont,United States,1200,650,550,0,0,0,0,0,2,1,50,0.4,100,90,December 14 2023,March 26 2024,0,6,14,21,5,0,0,499,599,499,10,35,45,35,10,60,75,60,https://www.onthesnow.com/vermont/suicide-six/ski-resort.html,0,0,0
Shanty Creek,One Shanty Creek Road,49615 Bellaire,Michigan,United States,1125,450,675,0,0,0,5,0,0,3,72,1,94,160,November 24 2023,March 24 2024,4,29,37,23,11,0,0,239,349,349,349,49,54,59,54,63,69,79,https://www.onthesnow.com/Michigan/shanty-creek/ski-resort.html,0,0,0
Schweitzer,10000 Schweitzer Mountain Road,83864 Sandpoint,Idaho,United States,6400,2400,4000,0,3,1,0,2,2,2,47,2.1,136,300,November 19 2023,April 07 2024,17,68,60,48,33,10,0,49,549,1349,49,0,60,110,0,0,60,110,https://www.onthesnow.com/idaho/schweitzer/ski-resort.html,0,0,0
Seven Oaks,1086 222nd Drive,50036 Boone,Iowa,United States,975,275,800,0,0,0,0,2,0,2,35,1,100,40,November 25 2023,March 10 2024,0,1,3,4,0.1,0,0,90,358,28,40,28,40,20,25,0,0,0,https://www.onthesnow.com/iowa/seven-oaks/ski-resort.html,0,0,0
Seven Springs,777 Waterwheel Drive,15622 Seven Springs,Pennsylvania,United States,2994,750,2240,0,0,2,3,5,0,4,285,1.2,99,135,November 24 2023,April 07 2024,0.9,13,29,26,17,0.6,0,439,859,859,55,67,69,87,0,0,0,0,https://www.onthesnow.com/pennsylvania/seven-springs/ski-resort.html,0,0,0
Showdown,P.O. Box 92,59465 Neihart,Montana,United States,8200,1400,6800,0,0,0,0,1,2,1,640,1.8,86,250,November 24 2023,April 02 2024,2,36,42,50,33,4,0,200,450,700,600,0,25,47,37,0,25,47,https://www.onthesnow.com/montana/showdown-ski-area/ski-resort.html,0,Check terrain information.,0
Sierra at Tahoe,1111 Sierra-at-Tahoe Road,95735 Twin Bridges,California,United States,8852,2212,6640,0,3,0,0,1,5,5,200,2.5,160,460,December 02 2023,April 21 2024,19,67,66,78,66,13,0,289,549,649,289,50,115,125,115,50,115,125,https://www.onthesnow.com/california/sierra-at-tahoe/ski-resort.html,0,0,0
Silver Mountain,610 Bunker Avenue,83837 Kellogg,Idaho,United States,6300,2200,4100,1,0,0,1,2,2,1,225,2.5,130,300,November 24 2023,April 28 2024,5,58,62,62,41,14,0,459,489,799,539,0,42,57,51,0,47,62,https://www.onthesnow.com/idaho/silver-mountain/ski-resort.html,0,0,0
Silverton Mountain,P.O. Box 856,81433 Silverton,CO,United States,13487,3087,10400,0,0,0,0,0,1,0,26819,1.5,175,400,December 28 2023,April 14 2024,0,38,70,74,56,11,0,698,79,79,0,0,0,0,0,0,0,0,https://www.onthesnow.com/colorado/silverton-mountain/ski-resort.html,Check gondola information.,Check terrain information.,0
Sipapu Ski and Summer,5224 NM-518,87579 Vadito,New Mexico,United States,9255,1055,8200,0,0,0,1,2,0,3,140,0.5,127,190,November 18 2023,April 14 2024,12,30,26,28,26,3,0,525,625,899,675,0,40,55,40,0,40,47,https://www.onthesnow.com/new-mexico/sipapu-ski-and-summer-resort/ski-resort.html,0,0,0
Ski Apache,Box 220,88312 Ruidoso,New Mexico,United States,11500,1900,9600,1,0,0,2,5,0,3,270,2,133,185,November 26 2023,March 24 2024,1,18,14,15,7,0,0,950,950,950,850,54,65,74,67,54,65,74,https://www.onthesnow.com/new-mexico/ski-aphe/ski-resort.html,0,0,0
Ski Brule,397 Brule Mountain Road,49935 Iron River,Michigan,United States,1860,500,1360,0,0,0,0,0,5,6,150,1,164,150,November 19 2023,April 14 2024,16,23,22,25,14,11,0,0,441,487,427,0,55,70,70,0,55,70,https://www.onthesnow.com/Michigan/ski-brule/ski-resort.html,0,0,0
Ski Butternut,380 State Road - Route 23,01230 Great Barrington,Masshusetts,United States,1800,1000,800,0,0,0,3,1,1,5,100,1.5,107,115,December 23 2023,April 01 2024,4,12,18,20,15,0.2,0,389,549,599,389,15,20,25,20,25,50,60,https://www.onthesnow.com/masshusetts/ski-butternut/ski-resort.html,0,0,0
Ski Santa Fe,PO Box 2108,87504 Santa Fe,New Mexico,United States,12075,1725,10350,0,0,0,1,2,2,2,275,3,107,225,November 23 2023,April 14 2024,16,34,39,37,38,4,0,60,72,92,72,67,79,99,79,60,72,72,https://www.onthesnow.com/new-mexico/ski-santa-fe/ski-resort.html,0,0,0
Ski Sawmill,383 Oregon Hill Rd.,16938 Morris,Pennsylvania,United States,2215,515,1700,0,0,0,0,1,1,2,13,0.1,0,24,December 26 2023,March 29 2024,0,3,8,9,3,0,0,1400,650,30,32,0,45,48,0,0,0,0,https://www.onthesnow.com/pennsylvania/ski-sawll/ski-resort.html,0,0,0
Ski Snowstar Winter Sports Park,9500 126th St. West,61232 Andalusia,Illinois,United States,790,262,528,0,0,0,2,0,2,2,28,0.8,56,38,December 27 2023,March 04 2024,0,3,11,12,1,0,0,309,0,25,25,25,0,30,35,30,0,0,https://www.onthesnow.com/illinois/ski-snowstar-winter-sports-park/ski-resort.html,0,0,0
Ski Sundown,PO Box 208,06057 New Hartford,Connecticut,United States,1075,625,450,0,0,0,0,3,0,2,70,1,84,45,December 26 2023,March 24 2024,0.5,3,11,17,8,0,0,325,675,725,225,18,54,62,38,18,54,62,https://www.onthesnow.com/connecticut/ski-sundown/ski-resort.html,0,0,0
Ski Ward,1000 Main St,01545 Shrewsbury,Masshusetts,United States,420,210,210,0,0,0,0,1,0,3,45,0.2,105,80,December 25 2023,April 03 2024,0,2,10,14,2,0,0,150,525,190,10,35,10,55,0,0,0,0,https://www.onthesnow.com/masshusetts/ski-ward/ski-resort.html,0,0,0
Sleeping Giant,348 Yellowstone Highway,82414 Cody,Wyoming,United States,7428,810,6619,0,0,0,0,1,1,1,18,1,61,310,December 01 2023,March 10 2024,0.3,17,17,25,8,0,0,250,400,580,100,20,30,42,0,16,30,42,https://www.onthesnow.com/Wyoming/sleeping-giant-ski-resort/ski-resort.html,0,0,0
Smugglers' Notch,4323 Vermont Route 108 South,05464 Smugglers Notch,Vermont,United States,3640,2610,1030,0,0,0,0,0,6,2,192,3,136,280,December 08 2023,April 07 2024,10,48,54,67,54,9,0,0,63,84,63,0,63,84,63,0,48,64,https://www.onthesnow.com/vermont/smugglers-notch-resort/ski-resort.html,0,0,0
Snow Creek,P.O. Box 567,64098 Weston,Missouri,United States,1100,300,800,0,0,0,0,2,1,3,30,0.3,69,20,December 23 2023,March 03 2024,0,5,8,6,1,0,0,439,859,859,10,29,37,10,10,29,47,10,https://www.onthesnow.com/ssouri/snow-creek/ski-resort.html,0,0,0
Snow King,PO Box SKI,83001 Jackson,Wyoming,United States,7808,1571,6237,1,0,0,1,1,1,4,250,1,121,300,December 02 2023,April 07 2024,2,30,28,28,17,0,0,449,599,699,599,49,59,49,49,59,49,39,https://www.onthesnow.com/Wyoming/snow-king-resort/ski-resort.html,0,0,0
Snow Ridge,PO Box 100 Route 26,13473 Turin,New York,United States,2000,650,1350,0,0,0,0,0,3,2,65,0.8,73,230,December 24 2023,April 08 2024,0.1,16,45,38,16,0.4,0,0,500,350,10,33,38,20,15,38,48,28,https://www.onthesnow.com/new-york/snow-ridge/ski-resort.html,0,0,0
Snow Snake,3407 E. Mannsiding Road,48625 Harrison,Michigan,United States,1230,210,1020,0,0,0,0,1,0,5,40,0,0,0,December 26 2023,March 17 2024,0.1,3,8,9,2,0,0,10,230,10,30,35,0,0,0,0,0,0,https://www.onthesnow.com/Michigan/snow-snake-mountain-ski-area/ski-resort.html,0,0,0
Snow Summit,P.O. Box 77,92315 Big Bear Lake,California,United States,8200,1200,7000,0,0,0,2,4,4,0,240,1.2,0,100,November 11 2023,April 28 2024,5,21,31,26,23,0,0,319,549,639,0,0,0,0,0,0,0,0,https://www.onthesnow.com/california/snow-sumt/ski-resort.html,Check gondola information.,0,0
Snow Trails,P.O. Box 1456,44901 Mansfield,Ohio,United States,1475,301,1174,0,0,0,0,4,2,3,40,0.2,87,50,December 17 2023,March 10 2024,0,4,12,10,3,0,0,0,350,495,210,31,41,42,52,0,0,0,https://www.onthesnow.com/ohio/snow-trails/ski-resort.html,0,0,0
Snow Valley,P.O. Box 2337,92382 Running Springs,California,United States,7841,1041,6800,0,0,0,0,5,6,1,188,1.2,111,160,December 25 2022,April 16 2023,4,18,17,23,24,2,0,199,299,359,299,29,59,69,59,35,69,79,https://www.onthesnow.com/california/snow-valley/ski-resort.html,0,0,0
Snowbasin,P.O. Box 460,84317 Huntsville,Utah,United States,9350,2900,6450,3,2,1,0,3,0,3,625,3.5,143,300,November 17 2023,April 21 2024,14,68,67,68,57,16,0,449,699,1149,799,0,89,149,99,0,109,169,https://www.onthesnow.com/utah/snowbasin/ski-resort.html,0,0,0
Snowbird,P.O. Box 929000,84092-9000 Snowbird,Utah,United States,11000,3240,7760,1,7,0,0,0,4,2,2500,2.5,184,500,November 18 2022,May 29 2023,23,88,95,83,77,63,13,379,569,1299,959,0,110,184,156,0,94,156,https://www.onthesnow.com/utah/snowbird/ski-resort.html,0,Check terrain information.,0
Snowshoe Mountain,P.O. Box 10,26209 Snowshoe,West Virginia,United States,4848,1500,3348,0,3,0,0,6,0,3,257,1.5,125,180,November 24 2023,April 02 2024,4,18,33,29,25,0.2,0,329,499,549,479,0,0,0,0,0,0,0,https://www.onthesnow.com/west-virginia/snowshoe-mountain-resort/ski-resort.html,0,0,0
Snowy Range Ski Recreation Area,Po Box 247,82055 Centennial,Wyoming,United States,9663,990,8798,0,0,0,0,1,3,1,30,0.7,131,250,December 02 2023,April 07 2024,1,43,37,35,30,5,0,209,269,329,0,30,42,49,0,30,42,49,https://www.onthesnow.com/Wyoming/snowy-range-ski-recreation-area/ski-resort.html,0,0,0
Soda Springs,P.O. Box 39,96160 Truckee,California,United States,7352,652,6700,0,0,0,0,1,1,4,20,0.4,150,400,November 24 2023,April 21 2024,3,67,53,34,47,13,0,109,149,229,59,40,45,50,40,45,50,0,https://www.onthesnow.com/california/soda-springs/ski-resort.html,0,0,0
Soldier Mountain,P.O. Box 510,83327 Fairfield,Idaho,United States,7200,1400,5800,0,0,0,0,0,2,1,1142,0.4,60,0,December 17 2023,March 25 2024,1,21,29,26,7,0,0,0,299,499,199,27,47,17,27,47,17,20,https://www.onthesnow.com/idaho/soldier-mountain-ski-area/ski-resort.html,0,Check terrain information.,0
Solitude Mountain,12000 Big Cottonwood Canyon,84121 Brighton,Utah,United States,10488,2494,7994,0,4,0,2,1,0,1,150,3,161,500,November 10 2022,May 21 2023,21,76,85,84,78,26,0.1,389,879,1179,45,69,115,85,45,69,115,85,https://www.onthesnow.com/utah/solitude-mountain-resort/ski-resort.html,0,0,0
Song Mountain,PO Box 149,13159 Tully,New York,United States,1940,700,1240,0,0,0,0,1,1,3,70,0.4,90,125,December 16 2023,April 07 2024,0,6,21,29,17,0.5,0,529,299,15,49,59,54,15,49,59,54,0,https://www.onthesnow.com/new-york/song-mountain/ski-resort.html,0,0,0
Spirit Mountain,9500 Spirit Mountain Ple,55810 Duluth,Minnesota,United States,1320,700,620,0,1,0,1,2,1,2,175,1,100,100,November 26 2023,April 07 2024,0.8,17,12,23,8,2,0,80,345,497,345,5,45,59,49,5,45,59,https://www.onthesnow.com/Minnesota/spirit-mountain/ski-resort.html,0,0,0
Spout Springs,79327 Highway 204,97813 Weston,Oregon,United States,5500,610,4850,0,0,0,0,0,2,2,200,0.1,117,118,March 31 2024,March 31 2025,0,0.3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.onthesnow.com/oregon/spout-springs/ski-resort.html,0,Check terrain information.,Check ticket prices.
Spring Mountain,P.O. Box 276,19478 Spring Mount,Pennsylvania,United States,528,450,78,0,0,0,0,1,3,2,45,0.2,100,20,December 10 2023,March 10 2024,0,0.2,3,6,1,0,0,25,365,430,365,0,0,0,0,0,0,0,https://www.onthesnow.com/pennsylvania/spring-mountain-ski-area/ski-resort.html,0,0,0
Mission Ridge,P.O. Box 1668,98807-1668 Wenatchee,Washington,United States,6820,2250,4570,0,1,0,0,0,3,3,66,0.8,104,200,November 17 2012,April 28 2024,5,38,34,32,19,9,0,119,499,849,429,0,0,0,0,0,0,0,https://www.onthesnow.com/washington/ssion-ridge/ski-resort.html,0,0,0
Steamboat,2305 Mt. Werner Circle,80487 Steamboat Springs,Colorado,United States,10568,3668,6900,2,6,1,1,4,2,5,333,3,144,336,November 22 2023,April 14 2024,15,80,69,61,46,15,0,389,879,1,133,177,167,144,192,182,106.4,141.6,https://www.onthesnow.com/colorado/steamboat/ski-resort.html,0,0,0
Stevens Pass,P.O. Box 98,98288 Skykosh,Washington,United States,5845,1800,4061,0,4,0,1,3,2,2,1125,1,116,460,December 02 2022,April 16 2023,17,94,77,85,48,21,0,439,859,0,0,0,0,0,0,0,0,0,https://www.onthesnow.com/washington/stevens-pass-resort/ski-resort.html,0,Check terrain information.,0
Stowe Mountain,5781 Mountain Rd.,05672-4890 Stowe,Vermont,United States,4395,2360,2035,2,0,0,4,2,2,2,388,3.7,155,314,November 18 2023,April 14 2024,14,43,50,54,49,13,0,439,859,0,0,0,0,0,0,0,0,0,https://www.onthesnow.com/vermont/stowe-mountain-resort/ski-resort.html,0,0,0
Stratton Mountain,RR #1 Box 145,05155 Stratton Mountain,Vermont,United States,3875,2003,1872,1,1,4,2,1,1,1,474,3,155,180,November 25 2022,April 16 2023,3,30,25,37,22,1,0,389,879,1179,0,100,125,100,0,100,125,100,https://www.onthesnow.com/vermont/stratton-mountain/ski-resort.html,0,0,0
Sugar Bowl,P.O. Box 5,95724 Norden,California,United States,8383,1500,6883,1,5,0,3,1,0,2,375,3,151,500,November 24 2023,April 28 2024,17,75,70,69,77,17,0.6,669,889,1119,889,73,103,125,103,73,103,125,https://www.onthesnow.com/california/sugar-bowl-resort/ski-resort.html,0,0,0
Sugar Mountain,P.O. Box 369,28604 Banner Elk,North Carolina,United States,5300,1200,4100,0,1,1,0,1,3,2,125,1.5,127,77,November 18 2023,March 30 2024,3,8,17,14,6,0,0,860,0,40,50,0,0,59,84,0,0,0,https://www.onthesnow.com/north-carolina/sugar-mountain-resort/ski-resort.html,0,0,0
Sugarbush,1840 Sugarbush cess Road,05674 Warren,Vermont,United States,4083,2600,1483,0,5,0,5,2,1,3,406,3,150,250,November 22 2023,May 05 2024,14,51,44,44,42,14,0,389,879,1179,0,0,0,0,0,0,0,0,https://www.onthesnow.com/vermont/sugarbush/ski-resort.html,0,0,0
Sugarloaf,5092 cess Road,04947 Carrabassett Valley,Maine,United States,4237,2820,1417,0,2,0,3,1,5,2,618,3.5,159,200,November 18 2022,April 30 2023,11,33,28,37,24,11,0,30,829,1329,989,0,0,0,0,0,0,0,https://www.onthesnow.com/maine/sugarloaf/ski-resort.html,0,0,0
The Summit at Snoqualmie,P.O. Box 1068,98068 Snoquale Pass,Washington,United States,3865,1025,2840,0,2,0,4,3,6,5,5,0.8,120,428,December 01 2023,April 28 2024,7,71,61,62,34,14,0,419,519,699,449,15,51,85,51,15,62,95,https://www.onthesnow.com/washington/the-sumt-at-snoquale/ski-resort.html,0,0,0
Sun Valley,P.O. Box 10,83353 Sun Valley,Idaho,United States,9150,3400,5750,1,10,0,0,3,1,2,645,3.6,149,220,November 23 2023,April 14 2024,8,56,35,40,30,10,0,799,1459,2499,114,214,138,114,214,138,102,191,https://www.onthesnow.com/idaho/sun-valley/ski-resort.html,0,0,0
Sunburst,8355 Prospect Drive,53040-9478 Kewaskum,Wisconsin,United States,1100,214,866,0,0,0,0,0,3,7,37,0.5,99,50,December 02 2023,March 17 2024,0,4,3,4,0.6,0,0,249,25,33,25,27,44,25,25,33,25,0,https://www.onthesnow.com/wisconsin/sunburst/ski-resort.html,0,0,0
Sundance,RR #3 Box A-1,84604 Sundance,Utah,United States,8250,2150,6100,0,1,0,4,1,0,3,125,0.6,128,320,December 02 2023,April 07 2024,13,46,62,39,32,0.7,0,399,499,849,350,79,119,55,89,129,65,79,https://www.onthesnow.com/utah/sundance/ski-resort.html,0,0,0
Sunday River,PO Box 4500,04217 Newry,Maine,United States,3140,2340,800,1,4,0,5,3,2,4,552,3,165,167,November 17 2022,April 23 2023,8,27,24,35,20,5,0,30,829,1329,989,0,0,0,0,0,0,0,https://www.onthesnow.com/maine/sunday-river/ski-resort.html,0,0,0
Sundown Mountain,16991 Asbury Road,52002 Dubuque,Iowa,United States,1059,475,584,0,0,0,1,1,2,2,55,0.6,0,45,December 12 2023,March 19 2024,0,6,6,8,2,0,0,360,0,30,38,0,36,46,0,0,0,0,https://www.onthesnow.com/iowa/sundown-mountain/ski-resort.html,0,0,0
Sunlight Mountain,10901 County Road 117,81601 Glenwood Springs,Colorado,United States,9895,2010,7885,0,0,0,0,1,2,0,30,2.5,100,250,November 24 2023,April 02 2024,4,36,38,33,34,2,0,319,419,559,419,0,45,65,45,0,45,65,https://www.onthesnow.com/colorado/sunlight-mountain-resort/ski-resort.html,Check gondola information.,0,0
Sunrise Park,P.O. Box 117,85927 Greer,Arizona,United States,11100,1800,9200,0,1,0,2,2,1,2,80,1.2,105,250,December 02 2023,April 01 2024,5,28,38,32,12,0,0,349,429,649,369,45,54,70,54,54,63,79,https://www.onthesnow.com/arizona/sunrise-park-resort/ski-resort.html,0,0,0
Swain,P.O. Box 44,14884 Swain,New York,United States,1970,650,1320,0,0,0,3,0,1,1,90,1,102,120,December 23 2023,March 26 2024,0.1,11,20,22,12,0,0,10,650,750,650,0,43,55,43,0,62,72,https://www.onthesnow.com/new-york/swain/ski-resort.html,0,0,0
Swiss Valley,Route #1,49061 Jones,Michigan,United States,1200,225,975,0,0,0,2,1,0,4,60,0.1,54,60,December 26 2023,March 13 2024,0,5,17,20,3,0,0,26,32,30,42,0,0,0,0,0,0,0,https://www.onthesnow.com/Michigan/swiss-valley/ski-resort.html,0,0,0
Tahoe Donner,11509 Northwoods Blvd.,96161 Truckee,California,United States,7350,600,6750,0,0,0,1,1,0,3,20,1,150,350,December 08 2023,April 14 2024,4,38,58,57,58,3,0,44,64,74,44,44,64,74,44,0,0,0,https://www.onthesnow.com/california/tahoe-donner/ski-resort.html,0,0,0
Tamarack,PMB 3003,83615 Tamark,Idaho,United States,7700,2800,4900,0,2,0,2,0,0,2,200,1.5,0,300,December 09 2023,April 09 2024,10,60,50,54,41,1,0,332,265,599,332,32,46,71,46,32,46,71,https://www.onthesnow.com/idaho/tamark-resort/ski-resort.html,0,0,0
Taos Ski Valley,P.O. Box 90,87525 Taos Ski Valley,New Mexico,United States,12481,3281,9200,1,1,0,3,4,1,3,647,5,137,300,November 24 2023,April 07 2024,16,38,34,45,41,6,0,695,1045,1450,1305,150,150,195,165,150,150,195,https://www.onthesnow.com/new-mexico/taos-ski-valley/ski-resort.html,0,0,0
Telluride,565 Mountain Village Blvd.,81435 Telluride,Colorado,United States,13150,4425,8725,2,6,0,1,2,2,4,220,4.6,136,280,November 23 2023,April 07 2024,16,49,47,52,49,4,0,735,1100,2600,1955,106,209,160,119,219,179,636,https://www.onthesnow.com/colorado/telluride/ski-resort.html,0,0,0
Terry Peak,P.O. Box 774,57754 Lead,South Dakota,United States,7100,1100,5900,0,3,0,0,1,0,1,225,1.2,114,150,December 02 2023,April 07 2024,3,26,23,29,19,0.5,0,10.6,445.2,742,10.6,0,45,60,0,0,45,60,https://www.onthesnow.com/south-dakota/terry-peak-ski-area/ski-resort.html,0,0,0
Teton Pass,PO Box 1354,59422 Choteau,Montana,United States,7200,1010,6190,0,0,0,0,0,1,2,330,3,40,250,December 16 2022,April 15 2023,0,12,20,25,11,0.5,0,0,450,600,500,0,33,39,36,0,33,39,https://www.onthesnow.com/montana/teton-pass-ski-area/ski-resort.html,0,Check terrain information.,0
Boyne Highlands,600 Highlands Drive,49740 Harbor Springs,Michigan,United States,1290,552,745,0,1,0,3,4,0,2,400,1.2,97,140,November 24 2023,March 24 2024,4,32,45,31,10,0.5,0,0,0,0,0,0,0,0,0,0,0,0,https://www.onthesnow.com/Michigan/boyne-highlands/ski-resort.html,0,0,Check ticket prices.
The Homestead,1 Wood Ridge Road,49636 Glen Arbor,Michigan,United States,900,320,580,0,0,0,0,2,1,2,16,0.2,47,150,December 26 2023,March 17 2024,0,3,14,10,1,0,0,29,249,299,249,29,42,50,42,29,42,50,https://www.onthesnow.com/Michigan/the-homestead/ski-resort.html,0,0,0
Thunder Ridge,Rt. #22 PO Box 627,12563 Patterson,New York,United States,1270,500,770,0,0,0,0,1,2,3,100,0.4,121,0,December 17 2023,April 01 2024,0,2,12,15,9,0,0,179,369,499,369,20,42,57,42,0,0,0,https://www.onthesnow.com/new-york/thunder-ridge/ski-resort.html,0,0,0
Timber Ridge,07500 23 1/2 Street,49055 Gobles,Michigan,United States,850,250,600,0,0,0,1,1,2,6,50,0.3,80,0,December 20 2023,March 17 2024,0,4,15,13,3,0,0,399,29,35,34,45,0,0,0,0,0,0,https://www.onthesnow.com/Michigan/timber-ridge/ski-resort.html,0,0,0
Timberline,HC 70 Box 488,26260 Davis,West Virginia,United States,4265,1000,3268,0,0,1,1,2,1,1,100,2,97,150,November 23 2023,March 26 2024,0,5,19,22,13,0,0,432,649,432,52,72,72,92,0,0,0,0,https://www.onthesnow.com/west-virginia/timberline-four-seasons/ski-resort.html,0,0,0
Timberline Lodge,Mountain Services Office,97028 Timberline Lodge,Oregon,United States,8540,3690,6000,0,5,0,0,1,1,1,1415,2,305,550,November 11 2022,August 31 2023,24,91,69,76,68,59,14,419,519,799,419,0,0,0,0,0,0,0,https://www.onthesnow.com/oregon/timberline-lodge/ski-resort.html,0,Check terrain information.,0
Titus Mountain,215 Johnson Rd.,12953 Malone,New York,United States,2025,1200,825,0,0,0,0,2,4,2,150,2,101,150,December 17 2023,March 31 2024,2,20,38,40,28,0.6,0,399,429,549,399,29,34,39,29,39,44,49,https://www.onthesnow.com/new-york/titus-mountain/ski-resort.html,0,0,0
Toggenburg Mountain,P.O. Box 162,13063 Fabius,New York,United States,2000,700,1300,0,0,0,0,1,1,3,85,0.4,0,130,December 16 2023,April 07 2024,0,0,15,16,7,0,0,45,55,35,45,55,35,0,0,0,0,0,https://www.onthesnow.com/new-york/toggenburg-mountain/ski-resort.html,0,Check terrain information.,0
Treetops,3962 Wilkinson Road,49735 Gaylord,Michigan,United States,1345,225,1120,0,0,0,0,3,0,1,80,0.2,63,175,December 03 2023,April 09 2024,0.6,21,27,25,9,0.5,0,39,359,499,339,0,0,0,0,0,0,0,https://www.onthesnow.com/Michigan/treetops-resort/ski-resort.html,0,0,0
Trollhaugen,2232 100th Avenue,54009 Dresser,Wisconsin,United States,1200,260,920,0,0,0,2,0,2,5,86,0.5,0,50,October 20 2023,April 02 2024,3,14,12,15,8,3,0,400,500,0,42,54,42,0,42,54,42,0,https://www.onthesnow.com/wisconsin/trollhaugen/ski-resort.html,0,0,0
Tussey Mountain,P.O. Box 885,16827 Boalsburg,Pennsylvania,United States,1750,520,1230,0,0,0,1,0,1,3,30,0.3,100,41,December 28 2023,March 26 2024,0,0.2,3,4,2,0,0,383,526,570,275,37,40,42,45,0,0,0,https://www.onthesnow.com/pennsylvania/tussey-mountain/ski-resort.html,0,0,0
Tyrol Basin,3487 Bohn Road,53572 Mt. Horeb,Wisconsin,United States,1160,300,860,0,0,0,0,3,0,2,32,0.5,112,41,November 19 2023,March 26 2024,2,8,9,10,3,0,0,0,449,17,17,17,37,48,37,27,37,27,https://www.onthesnow.com/wisconsin/tyrol-basin/ski-resort.html,0,0,0
Vail,P.O. Box 7,81658 Vail,Colorado,United States,11570,3450,8120,2,15,3,1,1,0,9,461,4,158,354,November 10 2023,April 21 2024,25,57,53,46,46,24,0.3,439,859,155,225,215,169,245,235,0,0,0,https://www.onthesnow.com/colorado/vail/ski-resort.html,0,0,0
Villa Olivia,1401 W. Lake St.,60103 Bartlett,Illinois,United States,500,180,320,0,0,0,1,0,0,6,15,0.1,0,25,December 30 2023,March 03 2024,0,0.4,4,6,1,0,0,400,17,29,40,17,17,29,40,17,0,0,https://www.onthesnow.com/illinois/villa-olivia/ski-resort.html,0,0,0
