Name,address,city,state,country,sumt,drop,base,gondolas_and_trams,fastEight,highSpeedSixes,quadChairs,tripleChairs,doubleChairs,surfeLifts,totalRuns (acre),longestRun (miles),daysOpenLastYear,averageSnowfall (inches),projectedOpening,projectedClosing,NovSnow,DecSnow,JanSnow,FebSnow,MarSnow,AprSnow,MaySnow,child_season,junior_season,adult_season,child_weekday,junior_weekday,adult_weekday,senior_weekday,child_weekend,junior_weekend,adult_weekend,senior_weekend,Url,gondolas_lifts_note,terrainNote,ticketpriceNote
Crotched Mountain,615 Francestown Road Route 47,03442 Bennington,New Hampshire,United States,2066,1016,1050,0,1,0,1,1,1,1,100,1.2,105,105,December 08 2023,March 24 2024,0,15,15,23,13,1,0,439,859,10,46,55,46,10,59,69,59,10,https://www.onthesnow.com/new-hampshire/crotched-mountain/ski-resort.html,0,0,0
Crystal Mountain Washington,33914 Crystal Mtn Blvd.,98022 Crystal Mountain,Washington,United States,7012,3100,4400,1,2,2,1,2,2,1,10,2.5,0,486,November 18 2022,May 21 2023,26,108,88,83,62,44,4,389,879,1179,0,69,99,29,0,69,99,29,https://www.onthesnow.com/washington/crystal-mountain-wa/ski-resort.html,0,0,0
Crystal Mountain Michigan,12500 Crystal Mountain Drive,49683 Thompsonville,Michigan,United States,1132,375,757,0,1,0,3,2,0,2,96,0.3,108,132,November 24 2023,April 07 2024,5,33,43,28,12,0.5,0,15,499,599,549,0,79,89,84,0,79,89,https://www.onthesnow.com/Michigan/crystal-mountain/ski-resort.html,0,0,0
Dartmouth Skiway,DCAD Dartmouth College,03755 Hanover,New Hampshire,United States,1943,969,974,0,0,0,1,0,1,2,54,1.1,104,100,December 22 2023,April 02 2024,0,6,17,22,13,0.2,0,0,404,539,404,35,40,50,35,35,40,50,https://www.onthesnow.com/new-hampshire/dartmouth-skiway/ski-resort.html,0,0,0
Ski Mystic at Deer Mountain,PO Box 622,57754 Lead,South Dakota,United States,6850,940,6040,0,0,0,0,1,1,2,50,1.6,69,200,December 13 2025,March 31 2026,0.6,6,6,6,3,0,0,36,45,5,36,45,5,32,39,5,0,0,https://www.onthesnow.com/south-dakota/ski-mystic-at-deer-mountain/ski-resort.html,0,0,0
Deer Valley,P.O. Box 1525,84060 Park City,Utah,United States,9570,3000,6570,1,13,0,0,5,2,0,660,2.8,0,300,November 28 2023,April 21 2024,8,57,68,56,52,14,0,1050,1955,2975,2295,0,0,0,0,0,0,0,https://www.onthesnow.com/utah/deer-valley-resort/ski-resort.html,Check gondola information.,0,0
Devils Head,S-6330 Bluff Road,53561 Merrim,Wisconsin,United States,995,500,495,0,0,0,5,1,1,2,260,1,110,45,November 25 2023,March 13 2024,0.2,11,10,10,5,0,0,0,449,499,449,0,35,45,35,0,55,65,https://www.onthesnow.com/wisconsin/devils-head/ski-resort.html,0,0,0
Diamond Peak,1210 Ski Way,89451 Incline Village,Nevada,United States,8540,1840,6700,0,1,0,2,0,3,1,492,2.1,128,300,December 03 2022,May 01 2023,0.8,44,55,49,56,4,0,234,419,499,439,44,89,109,89,54,104,124,https://www.onthesnow.com/nevada/diamond-peak/ski-resort.html,0,0,0
Discovery,PO Box 221,59711 Anonda,Montana,United States,8150,2380,5770,0,0,0,0,5,2,1,25,1.5,116,225,November 17 2023,April 07 2024,4,24,28,36,36,5,0,249,469,469,0,26,49,38,0,26,49,38,https://www.onthesnow.com/montana/discovery-ski-area/ski-resort.html,0,0,0
Dodge Ridge,P.O. Box 1188,95364 Pinecrest,California,United States,8200,1600,6600,0,0,0,1,3,3,3,862,2,0,350,November 11 2022,May 07 2023,10,52,65,46,68,3,1,199,499,499,399,28,59,78,62,28,59,78,https://www.onthesnow.com/california/dodge-ridge/ski-resort.html,0,Check terrain information.,0
Donner Ski Ranch,P.O. Box 66,95724 Norden,California,United States,8012,750,7031,0,0,0,0,1,5,2,60,1.5,163,400,November 12 2022,May 21 2023,0.5,28,26,28,30,0.5,0,299,449,499,449,59,89,89,89,59,89,89,https://www.onthesnow.com/california/donner-ski-ranch/ski-resort.html,0,0,0
