ski_resort,address,city,state,country,summit,drop,base,gondolas_and_trams,fast_eight,high_speed_sixes,quad_chairs,triple_chairs,double_chairs,surface_lifts,total_runs,longest_run,skiable_terrain,snow_making,terrain_note,daysOpenLastYear,averageSnowfall,projectedOpening,projectedClosing,nov_snow,dec_snow,jan_snow,feb_snow,mar_snow,apr_snow,may_snow,child_season,junior_season,adult_season,child_weekday,junior_weekday,adult_weekday,senior_weekday,child_weekend,junior_weekend,adult_weekend,senior_weekend,Url,gondolas_lifts_note,beginner_runs,intermediate_runs,advanced_runs,expert_runs,ticket_price_note
Wilmot Mountain,P.O. Box 427,53192 Wilmot,Wisconsin,United States,1030,230,800,,,,3,2,2,4,21,0.5 mi,135 ac,135 ac,Check terrain information.,125,"70""",3-Dec-23,17-Mar-24,"0.2""","3""","10""","8""","3""","0""",,439,859,,,,,,,,,,https://www.onthesnow.com/wisconsin/wilmot-mountain/ski-resort.html,,33%,33%,33%,,
Windham Mountain,P.O. Box 459,12496 Windham,New York,United States,3100,1600,1500,,2,1,,2,1,5,54,2 mi,285 ac,280 ac,,131,"105""",20-Nov-23,7-Apr-24,"3""","18""","19""","27""","18""","0.3""","0""",99,"1,599.00","1,099.00",,,,,,,,,https://www.onthesnow.com/new-york/windham-mountain/ski-resort.html,,20%,48%,19%,13%,
Winter Park,P.O. Box 36,80482 Winter Park,Colorado,United States,12060,3060,9000,1,7,2,,4,6,5,171,4.9 mi,3081 ac,313 ac,,158,"360""",31-Oct-22,21-May-23,"35""","65""","58""","52""","56""","45""","8""",149,179,169,121,179,157,,,,,,https://www.onthesnow.com/colorado/winter-park-resort/ski-resort.html,,24%,21%,48%,7%,
Wintergreen,PO Box 706,22958 Wintergreen,Virginia,United States,3515,1003,2512,,,2,1,1,1,,27,1 mi,129 ac,129 ac,Check terrain information.,107,"34""",23-Dec-23,10-Mar-24,"0.7""","1""","6""","7""","3""","0""",,529,699,529,0,54,64,54,0,74,94,74,https://www.onthesnow.com/virginia/wintergreen-resort/ski-resort.html,Check gondola information.,,,,,
Winterplace Ski,PO Box 1,25841 Flat Top,West Virginia,United States,3600,603,2997,,,,2,3,2,5,28,1.2 mi,90 ac,90 ac,Check terrain information.,120,"100""",9-Dec-23,10-Mar-24,"0.1""","4""","13""","15""","6""","0""",,499,699,499,0,35,56,0,54,72,,,https://www.onthesnow.com/west-virginia/winterplace-ski-resort/ski-resort.html,,,,,,
Wisp,296 Marsh Hill Road,21541 McHenry,Maryland,United States,3115,700,2415,,,,2,5,,5,33,1.5 mi,172 ac,118 ac,Check terrain information.,121,"100""",25-Nov-23,25-Mar-24,"0.8""","11""","21""","24""","13""","0""",,529,699,529,59,84,69,89,,,,,https://www.onthesnow.com/maryland/wisp/ski-resort.html,,27%,42%,30%,,
Wolf Creek,P.O. Box 2800,81147 Pagosa Springs,Colorado,United States,11904,1604,10300,,3,,1,2,1,3,133,2 mi,1600 ac,5 ac,Check terrain information.,164,"430""",4-Nov-23,7-Apr-24,"41""","83""","71""","78""","63""","8""","0.3""",490,962,"1,247.00",547,6,42,85,54,6,35,69,https://www.onthesnow.com/colorado/wolf-creek-ski-area/ski-resort.html,,,,,,
Wolf Ridge Ski,578 Valey View Circle,28754 Mars Hill,North Carolina,United States,4700,700,4000,,,,1,,1,2,15,0.6 mi,65 ac,65 ac,Check terrain information.,N.A.,"65""",25-Nov-23,10-Mar-24,"0""","3""","11""","8""","0.7""",,,5,700,5,0,37,47,0,0,56,76,0,https://www.onthesnow.com/north-carolina/wolf-ridge-ski-resort/ski-resort.html,,27%,60%,13%,,
Woodbury,785 Washington Road,06798 Woodbury,Connecticut,United States,730,300,430,,,,,,1,4,12,0.2 mi,50 ac,50 ac,,126,"70""",29-Feb-24,1-Mar-25,"0.5""","0.5""","1""","3""","1""","0""",,15,35,42,15,35,42,,,,,,https://www.onthesnow.com/connecticut/woodbury-ski-area/ski-resort.html,,25%,25%,25%,25%,
Woods Valley,Box 215,13486 Westernville,New York,United States,1400,500,900,,,,,,2,4,21,0.3 mi,25 ac,16 ac,Check terrain information.,N.A.,"180""",16-Dec-23,7-Apr-24,"0""","8""","20""","27""","9""","0.5""",,0,475,460,368,28,31,33,39,,,,https://www.onthesnow.com/new-york/woods-valley-ski-area/ski-resort.html,,,,,,
Yawgoo Valley,Box 41,2877 Slocum,Rhode Island,United States,315,245,70,,,,,,2,2,13,0.2 mi,30 ac,30 ac,Check terrain information.,100,"40""",27-Dec-23,17-Mar-24,"0""","3""","10""","13""","2""",,,479,499,519,199,0,25,30,25,0,45,50,https://www.onthesnow.com/rhode-island/yawgoo-valley/ski-resort.html,,,,,,
Badger Pass,9001 Village Dr.,95389 Yosemite,California,United States,7800,600,7200,,,,,1,3,1,10,0.4 mi,88 ac,,Check terrain information.,110,"300""",22-Dec-23,20-Mar-24,"0.6""","9""","13""","12""","5""","0""",,181,350,435,350,29.5,42,47,0,29.5,42,47,https://www.onthesnow.com/california/badger-pass/ski-resort.html,,,,,,
